<frozen runpy>:128: RuntimeWarning: 'worker.worker' found in sys.modules after import of package 'worker', but prior to execution of 'worker.worker'; this may result in unpredictable behaviour
2026-04-26 00:45:03,581 - worker.communication - INFO - Worker communication initialized for Master at 127.0.0.1:9999
2026-04-26 00:45:03,582 - worker.executor - INFO - Registered function: add
2026-04-26 00:45:03,582 - worker.executor - INFO - Registered function: multiply
2026-04-26 00:45:03,582 - worker.executor - INFO - Registered function: sleep
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: matrix_multiply
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: monte_carlo_pi
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: hash_crunch
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: etl_transform
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: sort_benchmark
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: hyperparameter_search
2026-04-26 00:45:03,583 - worker.executor - INFO - Registered function: io_simulation
2026-04-26 00:45:03,583 - worker.core - INFO - Starting Worker a42d0163...
2026-04-26 00:45:03,584 - worker.network - INFO - Successfully connected to Master at 127.0.0.1:9999
2026-04-26 00:45:03,584 - worker.core - INFO - Worker entering main task loop.
